step,octave,type,duration,noteCount,measureCount,partCount
G,5,half,20160,2,1,6
G,5,half,20160,1,2,6
G,5,half,20160,2,2,6
F,5,half,20160,3,2,6
E,5,half,20160,4,2,6
C,5,whole,40320,1,3,6
D,5,half,20160,2,3,6
E,5,half,20160,3,3,6
F,5,half,30240,1,4,6
G,5,quarter,10080,2,4,6
A,5,half,20160,3,4,6
G,5,half,20160,4,4,6
G,5,quarter,10080,2,5,6
F,5,quarter,10080,3,5,6
G,4,half,20160,4,5,6
F,5,whole,40320,2,6,6
D,5,half,20160,3,6,6
G,5,half,20160,4,6,6
G,5,half,20160,1,7,6
G,5,half,20160,2,7,6
F,5,half,20160,3,7,6
E,5,half,20160,4,7,6
C,5,whole,40320,1,8,6
D,5,half,20160,2,8,6
E,5,half,20160,3,8,6
F,5,half,30240,1,9,6
G,5,quarter,10080,2,9,6
A,5,half,20160,3,9,6
G,5,half,20160,4,9,6
G,5,quarter,10080,2,10,6
F,5,quarter,10080,3,10,6
G,4,half,20160,4,10,6
F,5,whole,40320,2,11,6
D,5,half,20160,3,11,6
D,5,half,20160,4,11,6
D,5,half,20160,1,12,6
D,5,half,20160,2,12,6
E,5,half,20160,3,12,6
E,5,half,20160,4,12,6
F,5,whole,40320,1,13,6
D,5,half,20160,2,13,6
D,5,half,20160,3,13,6
F,5,half,30240,1,14,6
E,5,quarter,10080,2,14,6
D,5,half,20160,3,14,6
C,5,half,20160,4,14,6
C,5,quarter,10080,2,15,6
B,4,quarter,10080,3,15,6
A,4,half,20160,4,15,6
B,4,whole,40320,2,16,6
Rest,,half,20160,3,16,6
F,5,half,20160,4,16,6
F,5,half,20160,1,17,6
F,5,half,20160,2,17,6
F,5,half,20160,3,17,6
F,5,half,20160,4,17,6
G,5,whole,40320,1,18,6
D,5,half,20160,2,18,6
D,5,half,20160,3,18,6
F,5,half,30240,1,19,6
G,5,quarter,10080,2,19,6
A,5,half,20160,3,19,6
G,5,half,20160,4,19,6
G,5,half,20160,2,20,6
F,5,half,20160,3,20,6
G,5,whole,40320,2,21,6
D,5,half,20160,3,21,6
D,5,half,20160,4,21,6
F,5,half,20160,2,22,6
E,5,half,20160,3,22,6
D,5,half,20160,2,23,6
C,5,whole,40320,3,23,6
B,4,half,20160,4,23,6
A,4,whole,40320,2,24,6
G,4,whole,60480,2,25,6
Rest,,half,20160,3,25,6
