step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
C,,5,C5,half,20160,2,1,6
A,,4,A4,half,20160,1,2,6
C,,5,C5,half,20160,2,2,6
F,,4,F4,half,20160,3,2,6
C,,4,C4,half,20160,4,2,6
F,,4,F4,half,20160,1,3,6
G,,4,G4,half,20160,2,3,6
A,,4,A4,whole,40320,3,3,6
Rest,,,Rest,half,20160,1,4,6
G,,4,G4,half,20160,2,4,6
A,,4,A4,half,20160,3,4,6
B,-1,4,B[-1]4,half,20160,4,4,6
C,,5,C5,whole,40320,1,5,6
B,-1,4,B[-1]4,half,20160,2,5,6
A,,4,A4,half,20160,3,5,6
G,,4,G4,half,20160,1,6,6
F,,4,F4,whole,40320,2,6,6
C,,5,C5,half,20160,3,6,6
A,,4,A4,half,20160,1,7,6
C,,5,C5,half,20160,2,7,6
F,,4,F4,half,20160,3,7,6
C,,4,C4,half,20160,4,7,6
F,,4,F4,half,20160,1,8,6
G,,4,G4,half,20160,2,8,6
A,,4,A4,whole,40320,3,8,6
Rest,,,Rest,half,20160,1,9,6
G,,4,G4,half,20160,2,9,6
A,,4,A4,half,20160,3,9,6
B,-1,4,B[-1]4,half,20160,4,9,6
C,,5,C5,whole,40320,1,10,6
B,-1,4,B[-1]4,half,20160,2,10,6
A,,4,A4,half,20160,3,10,6
G,,4,G4,whole,40320,1,11,6
F,,4,F4,whole,40320,2,11,6
Rest,,,Rest,half,20160,1,12,6
D,,4,D4,half,20160,2,12,6
E,,4,E4,half,20160,3,12,6
F,,4,F4,half,20160,4,12,6
G,,4,G4,whole,40320,1,13,6
Rest,,,Rest,half,20160,2,13,6
E,,4,E4,half,20160,3,13,6
F,,4,F4,half,20160,2,14,6
G,,4,G4,half,20160,3,14,6
A,,4,A4,whole,40320,2,15,6
F,,4,F4,whole,40320,3,15,6
C,,5,C5,whole,40320,1,16,6
B,-1,4,B[-1]4,half,20160,2,16,6
A,,4,A4,half,20160,3,16,6
A,,4,A4,half,20160,2,17,6
F,,4,F4,half,20160,3,17,6
C,,5,C5,whole,40320,2,18,6
B,-1,4,B[-1]4,half,20160,3,18,6
A,,4,A4,half,20160,4,18,6
A,,4,A4,half,20160,2,19,6
G,,4,G4,quarter,10080,3,19,6
F,,4,F4,quarter,10080,4,19,6
G,,4,G4,half,30240,2,20,6
A,,4,A4,quarter,10080,3,20,6
B,-1,4,B[-1]4,quarter,10080,4,20,6
G,,4,G4,quarter,10080,5,20,6
C,,5,C5,half,20160,6,20,6
C,,5,C5,half,20160,2,21,6
B,-1,4,B[-1]4,quarter,10080,3,21,6
A,,4,A4,quarter,10080,4,21,6
G,,4,G4,whole,40320,2,22,6
F,,4,F4,whole,40320,3,22,6
F,,4,F4,whole,40320,2,23,6
