step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
B,,4,B4,half,20160,2,1,6
C,0,5,C5,half,20160,1,2,6
D,0,5,D5,half,20160,2,2,6
D,1,5,D[1]5,half,20160,3,2,6
E,,5,E5,half,20160,4,2,6
D,0,5,D5,half,20160,1,3,6
C,0,5,C5,quarter,10080,2,3,6
B,,4,B4,quarter,10080,3,3,6
A,,4,A4,half,20160,4,3,6
B,,4,B4,half,20160,5,3,6
C,0,5,C5,half,20160,1,4,6
D,0,5,D5,half,20160,2,4,6
B,,4,B4,half,20160,3,4,6
D,1,5,D[1]5,quarter,10080,4,4,6
C,1,5,C[1]5,quarter,10080,5,4,6
B,,4,B4,half,30240,1,5,6
A,,4,A4,quarter,10080,2,5,6
G,0,4,G4,half,30240,3,5,6
F,0,4,F4,quarter,10080,4,5,6
E,,4,E4,half,20160,2,6,6
B,,4,B4,half,20160,3,6,6
C,0,5,C5,half,20160,2,7,6
D,0,5,D5,half,20160,3,7,6
D,1,5,D[1]5,half,20160,4,7,6
E,,5,E5,half,20160,5,7,6
D,0,5,D5,half,20160,1,8,6
C,0,5,C5,quarter,10080,2,8,6
B,,4,B4,quarter,10080,3,8,6
A,,4,A4,half,20160,4,8,6
B,,4,B4,half,20160,5,8,6
C,0,5,C5,half,20160,1,9,6
D,0,5,D5,half,20160,2,9,6
B,,4,B4,half,20160,3,9,6
D,1,5,D[1]5,quarter,10080,4,9,6
C,1,5,C[1]5,quarter,10080,5,9,6
B,,4,B4,half,30240,1,10,6
A,,4,A4,quarter,10080,2,10,6
G,0,4,G4,half,30240,3,10,6
F,0,4,F4,quarter,10080,4,10,6
E,,4,E4,half,20160,2,11,6
G,1,4,G[1]4,half,20160,3,11,6
C,0,5,C5,half,20160,2,12,6
B,,4,B4,half,20160,3,12,6
A,,4,A4,half,20160,4,12,6
E,,4,E4,half,20160,5,12,6
D,0,4,D4,whole,40320,1,13,6
C,0,4,C4,half,20160,2,13,6
G,0,4,G4,half,20160,3,13,6
A,,4,A4,half,20160,1,14,6
B,,4,B4,half,20160,2,14,6
D,0,5,D5,half,30240,3,14,6
D,1,5,D[1]5,quarter,10080,4,14,6
C,0,5,C5,whole,40320,1,15,6
B,,4,B4,half,20160,2,15,6
G,0,4,G4,half,20160,3,15,6
A,,4,A4,half,20160,1,16,6
G,0,4,G4,half,20160,2,16,6
F,0,4,F4,half,20160,3,16,6
E,,4,E4,half,20160,4,16,6
E,,4,E4,whole,60480,1,17,6
Rest,,,Rest,half,20160,2,17,6
