step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
C,,5,C5,breve,120960,2,1,6
C,,5,C5,whole,60480,1,2,6
C,,5,C5,half,20160,2,2,6
E,,5,E5,whole,40320,3,2,6
D,,5,D5,breve,120960,1,3,6
G,,4,G4,half,20160,1,4,6
F,1,4,F[1]4,half,20160,2,4,6
G,,4,G4,half,20160,3,4,6
D,,5,D5,half,20160,4,4,6
B,,4,B4,quarter,10080,5,4,6
G,,4,G4,quarter,10080,6,4,6
A,,4,A4,half,20160,7,4,6
G,,4,G4,breve,120960,1,5,6
A,,4,A4,whole,40320,1,6,6
B,,4,B4,half,20160,2,6,6
C,,5,C5,whole,60480,3,6,6
C,,5,C5,whole,60480,1,7,6
B,,4,B4,whole,60480,2,7,6
C,,5,C5,whole,40320,1,8,6
B,,4,B4,half,20160,2,8,6
A,,4,A4,half,20160,3,8,6
G,,4,G4,whole,40320,4,8,6
C,,4,C4,whole,40320,1,9,6
G,,4,G4,half,20160,2,9,6
A,,4,A4,half,20160,3,9,6
A,,4,A4,quarter,10080,4,9,6
G,,4,G4,quarter,10080,5,9,6
A,,4,A4,quarter,10080,6,9,6
F,0,4,F4,quarter,10080,7,9,6
E,,4,E4,breve,120960,1,10,6
C,,5,C5,breve,120960,1,11,6
C,,5,C5,whole,60480,1,12,6
C,,5,C5,half,20160,2,12,6
E,,5,E5,whole,40320,3,12,6
D,,5,D5,breve,120960,1,13,6
G,,4,G4,half,20160,1,14,6
F,1,4,F[1]4,half,20160,2,14,6
G,,4,G4,half,20160,3,14,6
D,,5,D5,half,20160,4,14,6
B,,4,B4,quarter,10080,5,14,6
G,,4,G4,quarter,10080,6,14,6
A,,4,A4,half,20160,7,14,6
G,,4,G4,breve,120960,1,15,6
A,,4,A4,whole,40320,1,16,6
B,,4,B4,half,20160,2,16,6
C,,5,C5,whole,60480,3,16,6
C,,5,C5,whole,60480,1,17,6
B,,4,B4,whole,60480,2,17,6
C,,5,C5,whole,40320,1,18,6
B,,4,B4,half,20160,2,18,6
A,,4,A4,half,20160,3,18,6
G,,4,G4,whole,40320,4,18,6
C,,4,C4,whole,40320,1,19,6
G,,4,G4,half,20160,2,19,6
A,,4,A4,half,20160,3,19,6
A,,4,A4,quarter,10080,4,19,6
G,,4,G4,quarter,10080,5,19,6
A,,4,A4,quarter,10080,6,19,6
F,0,4,F4,quarter,10080,7,19,6
E,,4,E4,breve,120960,1,20,6
G,,4,G4,whole,60480,1,21,6
B,,4,B4,whole,60480,2,21,6
D,,5,D5,breve,120960,1,22,6
G,,4,G4,whole,60480,1,23,6
