step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
A,,4,A4,eighth,7560,2,1,6
B,,4,B4,16th,2520,3,1,6
C,0,5,C5,quarter,10080,1,2,6
A,,4,A4,quarter,10080,2,2,6
E,,4,E4,quarter,10080,3,2,6
A,,4,A4,eighth,7560,1,3,6
B,,4,B4,16th,2520,2,3,6
A,,4,A4,quarter,10080,3,3,6
A,,4,A4,eighth,7560,4,3,6
B,,4,B4,16th,2520,5,3,6
C,0,5,C5,quarter,10080,1,4,6
A,,4,A4,quarter,10080,2,4,6
E,,4,E4,quarter,10080,3,4,6
A,,4,A4,eighth,7560,1,5,6
B,,4,B4,16th,2520,2,5,6
A,,4,A4,quarter,10080,3,5,6
A,,4,A4,eighth,7560,4,5,6
C,0,5,C5,16th,2520,5,5,6
B,,4,B4,quarter,10080,1,6,6
G,0,4,G4,quarter,10080,2,6,6
E,,4,E4,quarter,10080,3,6,6
G,0,4,G4,eighth,7560,1,7,6
A,,4,A4,16th,2520,2,7,6
G,1,4,G[1]4,quarter,10080,3,7,6
G,1,4,G[1]4,eighth,7560,4,7,6
A,,4,A4,16th,2520,5,7,6
B,,4,B4,quarter,10080,1,8,6
G,0,4,G4,quarter,10080,2,8,6
F,1,4,F[1]4,quarter,10080,3,8,6
E,,4,E4,eighth,7560,1,9,6
F,1,4,F[1]4,16th,2520,2,9,6
E,,4,E4,eighth,5040,3,9,6
Rest,,,Rest,eighth,5040,4,9,6
C,0,4,C4,eighth,7560,5,9,6
D,,4,D4,16th,2520,6,9,6
E,,4,E4,quarter,10080,1,10,6
E,,4,E4,quarter,10080,2,10,6
F,0,4,F4,quarter,10080,3,10,6
G,0,4,G4,eighth,7560,1,11,6
A,,4,A4,16th,2520,2,11,6
G,1,4,G[1]4,quarter,10080,3,11,6
A,,4,A4,eighth,7560,4,11,6
A,,4,A4,16th,2520,5,11,6
E,,4,E4,quarter,10080,1,12,6
E,,4,E4,quarter,10080,2,12,6
A,,4,A4,quarter,10080,3,12,6
B,,4,B4,eighth,7560,1,13,6
C,0,5,C5,16th,2520,2,13,6
B,,4,B4,quarter,10080,3,13,6
A,,4,A4,eighth,7560,4,13,6
B,,4,B4,16th,2520,5,13,6
C,0,5,C5,quarter,10080,1,14,6
A,,4,A4,quarter,10080,2,14,6
E,,4,E4,quarter,10080,3,14,6
A,,4,A4,eighth,7560,1,15,6
B,,4,B4,16th,2520,2,15,6
A,,4,A4,quarter,10080,3,15,6
Rest,,,Rest,quarter,10080,4,15,6
