step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
F,,4,F4,quarter,10080,2,1,6
A,-1,4,A[-1]4,quarter,10080,1,2,6
F,,4,F4,quarter,10080,2,2,6
C,,5,C5,quarter,10080,3,2,6
C,,5,C5,quarter,10080,4,2,6
C,,5,C5,half,20160,1,3,6
A,-1,4,A[-1]4,quarter,10080,2,3,6
A,,4,A4,quarter,10080,3,3,6
G,,4,G4,half,20160,1,4,6
G,,4,G4,quarter,10080,2,4,6
F,,4,F4,quarter,10080,3,4,6
G,,4,G4,half,20160,1,5,6
Rest,,,Rest,quarter,10080,2,5,6
G,,4,G4,quarter,10080,3,5,6
G,,4,G4,quarter,10080,1,6,6
A,-1,4,A[-1]4,quarter,10080,2,6,6
B,-1,4,B[-1]4,quarter,10080,3,6,6
C,,5,C5,quarter,10080,4,6,6
D,-1,5,D[-1]5,half,20160,1,7,6
C,,5,C5,quarter,10080,2,7,6
B,-1,4,B[-1]4,quarter,10080,3,7,6
A,-1,4,A[-1]4,half,20160,1,8,6
G,,4,G4,quarter,10080,2,8,6
G,,4,G4,quarter,10080,3,8,6
F,,4,F4,half,20160,1,9,6
Rest,,,Rest,quarter,10080,2,9,6
Rest,,,Rest,quarter,10080,3,9,6
