step,octave,type,duration,noteCount,measureCount,partCount
C,5,quarter,10080,2,1,6
D,5,quarter,10080,3,1,6
D,5,quarter,10080,4,1,6
G,4,quarter,10080,1,2,6
C,5,quarter,10080,2,2,6
A,4,quarter,15120,3,2,6
F,4,eighth,5040,4,2,6
G,4,quarter,10080,1,3,6
G,4,quarter,10080,2,3,6
F,4,half,20160,3,3,6
Rest,,quarter,10080,1,4,6
C,5,quarter,10080,2,4,6
C,5,quarter,10080,3,4,6
C,5,quarter,10080,4,4,6
D,5,quarter,15120,1,5,6
C,5,eighth,5040,2,5,6
B,4,quarter,10080,3,5,6
C,5,quarter,10080,4,5,6
B,4,half,20160,1,6,6
C,5,half,20160,2,6,6
Rest,,quarter,10080,1,7,6
C,5,quarter,10080,2,7,6
D,5,quarter,10080,3,7,6
D,5,quarter,10080,4,7,6
G,4,quarter,10080,1,8,6
C,5,quarter,10080,2,8,6
A,4,quarter,15120,3,8,6
F,4,eighth,5040,4,8,6
G,4,quarter,10080,1,9,6
G,4,quarter,10080,2,9,6
F,4,half,20160,3,9,6
Rest,,quarter,10080,1,10,6
C,5,quarter,10080,2,10,6
C,5,quarter,10080,3,10,6
C,5,quarter,10080,4,10,6
D,5,quarter,15120,1,11,6
C,5,eighth,5040,2,11,6
B,4,quarter,10080,3,11,6
C,5,quarter,10080,4,11,6
B,4,half,20160,1,12,6
C,5,half,20160,2,12,6
Rest,,quarter,10080,1,13,6
C,5,quarter,10080,2,13,6
D,5,quarter,10080,3,13,6
E,5,quarter,10080,4,13,6
F,5,half,20160,1,14,6
Rest,,quarter,10080,2,14,6
E,5,quarter,10080,3,14,6
D,5,quarter,10080,1,15,6
C,5,quarter,10080,2,15,6
D,5,half,20160,3,15,6
Rest,,quarter,10080,1,16,6
F,5,quarter,10080,2,16,6
D,5,quarter,10080,3,16,6
E,5,quarter,10080,4,16,6
F,5,quarter,15120,1,17,6
E,5,eighth,5040,2,17,6
D,5,quarter,10080,3,17,6
C,5,quarter,10080,4,17,6
B,4,half,20160,1,18,6
A,4,half,20160,2,18,6
Rest,,quarter,10080,1,19,6
C,5,quarter,10080,2,19,6
D,5,quarter,10080,3,19,6
B,4,quarter,10080,4,19,6
C,5,half,20160,1,20,6
Rest,,quarter,10080,2,20,6
A,4,quarter,10080,3,20,6
B,4,quarter,10080,1,21,6
G,4,quarter,10080,2,21,6
A,4,half,20160,3,21,6
Rest,,quarter,10080,1,22,6
F,4,quarter,10080,2,22,6
C,5,quarter,10080,3,22,6
A,4,quarter,10080,4,22,6
F,4,quarter,10080,1,23,6
A,4,quarter,10080,2,23,6
G,4,half,20160,3,23,6
F,4,whole,40320,1,24,6
Rest,,quarter,10080,1,25,6
Rest,,half,30240,2,25,6
