step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
F,,4,F4,whole,40320,2,1,6
A,,4,A4,breve,80640,1,2,6
B,-1,4,B[-1]4,whole,40320,2,2,6
C,,5,C5,breve,80640,1,3,6
F,,5,F5,whole,40320,2,3,6
C,,5,C5,whole,40320,1,4,6
A,,4,A4,whole,40320,2,4,6
B,-1,4,B[-1]4,whole,40320,3,4,6
C,,5,C5,breve,120960,1,5,6
Rest,,,Rest,breve,80640,1,6,6
C,,5,C5,whole,40320,2,6,6
F,,5,F5,breve,80640,1,7,6
E,,5,E5,whole,40320,2,7,6
D,,5,D5,whole,40320,1,8,6
C,,5,C5,whole,40320,2,8,6
G,,5,G5,whole,40320,3,8,6
F,,5,F5,whole,40320,1,9,6
E,,5,E5,half,20160,2,9,6
C,,5,C5,half,20160,3,9,6
D,,5,D5,whole,40320,4,9,6
C,,5,C5,breve,80640,1,10,6
Rest,,,Rest,whole,40320,2,10,6
Rest,,,Rest,breve,80640,1,11,6
C,,5,C5,whole,40320,2,11,6
F,,5,F5,breve,80640,1,12,6
C,,5,C5,whole,40320,2,12,6
C,,5,C5,whole,40320,1,13,6
A,,4,A4,whole,40320,2,13,6
C,,5,C5,whole,40320,3,13,6
B,-1,4,B[-1]4,whole,40320,1,14,6
A,,4,A4,half,20160,2,14,6
F,,4,F4,half,20160,3,14,6
G,,4,G4,whole,40320,4,14,6
F,,4,F4,breve,120960,1,15,6
Rest,,,Rest,breve,80640,1,16,6
A,,4,A4,whole,40320,2,16,6
C,,5,C5,breve,80640,1,17,6
F,,4,F4,whole,40320,2,17,6
G,,4,G4,whole,40320,1,18,6
F,,4,F4,whole,40320,2,18,6
C,,5,C5,whole,40320,3,18,6
B,-1,4,B[-1]4,whole,40320,1,19,6
A,,4,A4,half,20160,2,19,6
F,,4,F4,half,20160,3,19,6
G,,4,G4,whole,40320,4,19,6
F,,4,F4,breve,80640,1,20,6
Rest,,,Rest,whole,40320,2,20,6
