step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
F,,4,F4,breve,80640,2,1,6
A,,4,A4,whole,40320,3,1,6
C,,5,C5,breve,80640,1,2,6
D,,5,D5,whole,40320,2,2,6
C,,5,C5,whole,40320,1,3,6
B,-1,4,B[-1]4,half,20160,2,3,6
A,,4,A4,half,20160,3,3,6
G,,4,G4,whole,40320,4,3,6
F,,4,F4,breve,120960,1,4,6
C,,5,C5,breve,120960,1,5,6
D,,5,D5,breve,80640,1,6,6
F,,5,F5,whole,40320,2,6,6
E,,5,E5,breve,80640,1,7,6
D,,5,D5,whole,40320,2,7,6
C,,5,C5,whole,40320,1,8,6
D,,5,D5,half,20160,2,8,6
C,,5,C5,half,20160,3,8,6
B,-1,4,B[-1]4,whole,40320,4,8,6
A,,4,A4,breve,120960,1,9,6
F,,4,F4,whole,40320,1,10,6
A,,4,A4,whole,40320,2,10,6
C,,5,C5,whole,40320,3,10,6
D,,5,D5,breve,80640,1,11,6
C,,5,C5,whole,40320,2,11,6
F,,4,F4,whole,40320,1,12,6
A,,4,A4,whole,40320,2,12,6
C,,5,C5,whole,40320,3,12,6
D,,5,D5,breve,80640,1,13,6
C,,5,C5,whole,40320,2,13,6
B,-1,4,B[-1]4,whole,40320,1,14,6
A,,4,A4,whole,40320,2,14,6
G,,4,G4,whole,40320,3,14,6
F,,4,F4,breve,120960,1,15,6
F,,5,F5,breve,120960,1,16,6
E,,5,E5,breve,80640,1,17,6
F,,5,F5,whole,40320,2,17,6
G,,5,G5,whole,40320,1,18,6
F,,5,F5,half,20160,2,18,6
E,,5,E5,half,20160,3,18,6
D,,5,D5,whole,40320,4,18,6
C,,5,C5,breve,120960,1,19,6
D,,5,D5,breve,80640,1,20,6
F,,5,F5,whole,40320,2,20,6
C,,5,C5,whole,40320,1,21,6
B,-1,4,B[-1]4,half,20160,2,21,6
A,,4,A4,half,20160,3,21,6
G,,4,G4,whole,40320,4,21,6
F,,4,F4,breve,120960,1,22,6
C,,5,C5,whole,40320,1,23,6
F,,5,F5,half,20160,2,23,6
E,,5,E5,half,20160,3,23,6
D,,5,D5,whole,40320,4,23,6
C,,5,C5,breve,120960,1,24,6
C,,5,C5,breve,80640,1,25,6
A,,4,A4,whole,40320,2,25,6
C,,5,C5,breve,80640,1,26,6
A,,4,A4,whole,40320,2,26,6
F,,4,F4,breve,80640,1,27,6
B,-1,4,B[-1]4,whole,40320,2,27,6
A,,4,A4,breve,80640,1,28,6
G,,4,G4,whole,40320,2,28,6
F,,4,F4,breve,120960,1,29,6
