step,alteration,octave,pitch,type,duration,measureCount,voice
B,,4,B4,quarter,1.0,0,Soprano
C,,5,C5,quarter,1.0,1,Soprano
B,,4,B4,quarter,1.0,1,Soprano
A,,4,A4,quarter,1.0,1,Soprano
E,,5,E5,quarter,1.0,1,Soprano
E,,5,E5,eighth,0.5,2,Soprano
D,,5,D5,eighth,0.5,2,Soprano
C,,5,C5,quarter,1.0,2,Soprano
B,,4,B4,quarter,1.0,2,Soprano
D,,5,D5,quarter,1.0,2,Soprano
C,,5,C5,quarter,1.0,3,Soprano
B,,4,B4,quarter,1.0,3,Soprano
A,,4,A4,quarter,1.0,3,Soprano
B,,4,B4,eighth,0.5,3,Soprano
C,,5,C5,16th,0.25,3,Soprano
D,,5,D5,16th,0.25,3,Soprano
C,,5,C5,quarter,1.0,4,Soprano
B,,4,B4,quarter,1.0,4,Soprano
A,,4,A4,quarter,1.0,4,Soprano
A,,4,A4,quarter,1.0,4,Soprano
B,,4,B4,eighth,0.5,5,Soprano
A,,4,A4,eighth,0.5,5,Soprano
G,,4,G4,quarter,1.0,5,Soprano
F,1,4,F[1]4,quarter,1.0,5,Soprano
E,,4,E4,eighth,0.5,5,Soprano
F,1,4,F[1]4,eighth,0.5,5,Soprano
G,,4,G4,quarter,1.0,6,Soprano
A,,4,A4,quarter,1.0,6,Soprano
B,,4,B4,quarter,1.0,6,Soprano
G,,4,G4,quarter,1.0,6,Soprano
A,,4,A4,eighth,0.5,7,Soprano
B,,4,B4,eighth,0.5,7,Soprano
C,,5,C5,quarter,1.0,7,Soprano
B,,4,B4,quarter,1.0,7,Soprano
C,,5,C5,eighth,0.5,7,Soprano
B,,4,B4,eighth,0.5,7,Soprano
A,,4,A4,quarter,1.0,8,Soprano
G,1,4,G[1]4,quarter,1.0,8,Soprano
A,,4,A4,quarter,1.0,8,Soprano
A,,4,A4,quarter,1.0,8,Soprano
E,,5,E5,quarter,1.0,9,Soprano
C,,5,C5,quarter,1.0,9,Soprano
D,,5,D5,quarter,1.0,9,Soprano
E,,5,E5,quarter,1.0,9,Soprano
D,,5,D5,quarter,1.0,10,Soprano
C,,5,C5,quarter,1.0,10,Soprano
B,,4,B4,quarter,1.0,10,Soprano
G,1,4,G[1]4,quarter,1.0,0,Alto
A,,4,A4,quarter,1.0,1,Alto
G,1,4,G[1]4,quarter,1.0,1,Alto
A,,4,A4,quarter,1.0,1,Alto
G,1,4,G[1]4,eighth,0.5,1,Alto
A,,4,A4,eighth,0.5,1,Alto
B,,4,B4,quarter,1.0,2,Alto
E,,4,E4,eighth,0.5,2,Alto
F,1,4,F[1]4,eighth,0.5,2,Alto
G,1,4,G[1]4,quarter,1.0,2,Alto
G,1,4,G[1]4,quarter,1.0,2,Alto
A,,4,A4,quarter,1.0,3,Alto
G,1,4,G[1]4,quarter,1.0,3,Alto
A,,4,A4,eighth,0.5,3,Alto
G,0,4,G4,eighth,0.5,3,Alto
F,0,4,F4,quarter,1.0,3,Alto
E,,4,E4,half,2.0,4,Alto
E,,4,E4,quarter,1.0,4,Alto
D,,4,D4,quarter,1.0,4,Alto
D,,4,D4,eighth,0.5,5,Alto
D,1,4,D[1]4,eighth,0.5,5,Alto
E,,4,E4,quarter,1.0,5,Alto
D,1,4,D[1]4,quarter,1.0,5,Alto
E,,4,E4,eighth,0.5,5,Alto
D,1,4,D[1]4,eighth,0.5,5,Alto
E,,4,E4,eighth,0.5,6,Alto
G,,4,G4,eighth,0.5,6,Alto
F,1,4,F[1]4,eighth,0.5,6,Alto
E,,4,E4,eighth,0.5,6,Alto
D,1,4,D[1]4,quarter,1.0,6,Alto
E,,4,E4,eighth,0.5,6,Alto
D,0,4,D4,eighth,0.5,6,Alto
C,,4,C4,eighth,0.5,7,Alto
D,,4,D4,eighth,0.5,7,Alto
E,,4,E4,quarter,1.0,7,Alto
E,,4,E4,quarter,1.0,7,Alto
A,,4,A4,quarter,1.0,7,Alto
E,,4,E4,quarter,1.0,8,Alto
E,,4,E4,quarter,1.0,8,Alto
E,,4,E4,quarter,1.0,8,Alto
E,,4,E4,quarter,1.0,8,Alto
E,,4,E4,quarter,1.0,9,Alto
E,,4,E4,quarter,1.0,9,Alto
F,0,4,F4,quarter,1.0,9,Alto
G,,4,G4,quarter,1.0,9,Alto
F,1,4,F[1]4,eighth,0.5,10,Alto
G,1,4,G[1]4,eighth,0.5,10,Alto
A,,4,A4,quarter,1.0,10,Alto
E,,4,E4,quarter,1.0,10,Alto
E,,4,E4,quarter,1.0,0,Tenor
E,,4,E4,quarter,1.0,1,Tenor
D,,4,D4,quarter,1.0,1,Tenor
E,,4,E4,quarter,1.0,1,Tenor
